id;locale;start_promt;another_promt;trailer
0;af; Hallo! Adviseer 'n ewekansige film of reeks. Sit die antwoord streng terug in die volgende formaat: { 'title' : Die naam van die film of reeks, 'poster' : Skakel na 'n foto uit 'n film of reeks, soek 'n foto op die webwerf imdb, 'desc' : Gedetailleerde beskrywing van die film of reeks }; Bied nog 'n film of reeks aan. Sit die antwoord streng terug in die volgende formaat: { 'title' : Die naam van die film of reeks, 'poster' : Skakel na 'n foto uit 'n film of reeks, soek 'n foto op die webwerf imdb, 'desc' : Gedetailleerde beskrywing van die film of reeks }; Dankie! Soek asseblief 'n skakel na die sleepwa
1;sq; Përshëndetje! Këshilloni një film ose seri të rastit. Kthejeni përgjigjen në mënyrë rigoroze në formatin e mëposhtëm: { 'title' : Emri i filmit ose serialit, 'poster' : Lidhja me një fotografi nga një film ose seri, shikoni për një fotografi në sit imdb, 'desc' : Përshkrimi i hollësishëm i filmit ose serisë }; Ofroni një film ose seri tjetër. Kthejeni përgjigjen në mënyrë rigoroze në formatin e mëposhtëm: { 'title' : Emri i filmit ose serialit, 'poster' : Lidhja me një fotografi nga një film ose seri, shikoni për një fotografi në sit imdb, 'desc' : Përshkrimi i hollësishëm i filmit ose serisë }; Faleminderit! Ju lutemi gjeni një lidhje me rimorkiot
2;am; ሀሎ! የዘፈቀደ ፊልም ወይም ተከታታይ ይመክሩ. መልስን በሚከተለው ቅርጸት በጥብቅ ይመልሱ- { 'title' : የፊልም ወይም ተከታታይ ስም, 'poster' : ከፊልም ወይም ከተከታታይ ወደ ስዕል አገናኝ በቦታው imdb ላይ ስዕል ይፈልጉ, 'desc' : የፊልም ወይም ተከታታይ ዝርዝር መግለጫ }; ሌላ ፊልም ወይም ተከታታይ ያቅርቡ. መልስን በሚከተለው ቅርጸት በጥብቅ ይመልሱ- { 'title' : የፊልም ወይም ተከታታይ ስም, 'poster' : ከፊልም ወይም ከተከታታይ ወደ ስዕል አገናኝ በቦታው imdb ላይ ስዕል ይፈልጉ, 'desc' : የፊልም ወይም ተከታታይ ዝርዝር መግለጫ }; አመሰግናለሁ! እባክዎን ወደ ተጎታች አገናኝ ያግኙ
3;ar; مرحبًا! تقديم المشورة لفيلم أو سلسلة عشوائية. أعد الإجابة بشكل صارم بالتنسيق التالي: { 'title' : اسم الفيلم أو السلسلة, 'poster' : رابط إلى صورة من فيلم أو سلسلة ، ابحث عن صورة على الموقع imdb, 'desc' : وصف مفصل للفيلم أو السلسلة }; عرض فيلم أو سلسلة أخرى. أعد الإجابة بشكل صارم بالتنسيق التالي: { 'title' : اسم الفيلم أو السلسلة, 'poster' : رابط إلى صورة من فيلم أو سلسلة ، ابحث عن صورة على الموقع imdb, 'desc' : وصف مفصل للفيلم أو السلسلة }; شكرًا لك! يرجى العثور على رابط للمقطورة
4;hy; Ողջույն Խորհրդեք պատահական ֆիլմ կամ շարք: Պատասխանը խստորեն վերադարձրեք հետեւյալ ձեւաչափով. { 'title' : Ֆիլմի անվանումը կամ շարքը, 'poster' : Հղում դեպի նկարը ֆիլմի կամ սերիայի նկարից, նկար փնտրեք imdb կայքում, 'desc' : Ֆիլմի կամ շարքի մանրամասն նկարագրությունը }; Առաջարկեք մեկ այլ կինոնկար կամ շարք: Պատասխանը խստորեն վերադարձրեք հետեւյալ ձեւաչափով. { 'title' : Ֆիլմի անվանումը կամ շարքը, 'poster' : Հղում դեպի նկարը ֆիլմի կամ սերիայի նկարից, նկար փնտրեք imdb կայքում, 'desc' : Ֆիլմի կամ շարքի մանրամասն նկարագրությունը }; Շնորհակալ եմ Խնդրում ենք հղում գտնել հոլովակ
5;as; নমস্কাৰ! এটা ৰেণ্ডম ফিল্ম বা ছিৰিজৰ পৰামৰ্শ দিয়ক। তলৰ বিন্যাসত উত্তৰটো কঠোৰভাৱে ঘূৰাই দিয়ক: { 'title' : ছবিখনৰ নাম বা ধাৰাবাহিক, 'poster' : ফিল্ম বা ছিৰিজৰ পৰা এখন ছবিৰ সৈতে সংযোগ কৰক, চাইটত এখন ছবি বিচাৰিব imdb, 'desc' : ছবিখনৰ বিশদ বিৱৰণ বা ধাৰাবাহিক }; আন এখন ছবি বা ধাৰাবাহিক আগবঢ়াওক। তলৰ বিন্যাসত উত্তৰটো কঠোৰভাৱে ঘূৰাই দিয়ক: { 'title' : ছবিখনৰ নাম বা ধাৰাবাহিক, 'poster' : ফিল্ম বা ছিৰিজৰ পৰা এখন ছবিৰ সৈতে সংযোগ কৰক, চাইটত এখন ছবি বিচাৰিব imdb, 'desc' : ছবিখনৰ বিশদ বিৱৰণ বা ধাৰাবাহিক }; ধন্যবাদ! অনুগ্ৰহ কৰি ট্ৰেইলাৰৰ এটা লিংক বিচাৰি উলিয়াওক
6;ay; Kamisaki! Mä película aleatoria jan ukax serie ukar iwxt’aña. Uka jisktʼar qhanañchañatakejj aka formatoruw kuttʼayañama: { 'title' : Uka película jan ukajj serien sutipajj ., 'poster' : Mä película jan ukax serie ukan mä jamuq uñt’ayaña, mä jamuq uñt’aña sitio imdb ., 'desc' : Película jan ukax serie ukanakat sum qhanañchaña . }; Yaqha película jan ukax serie uñacht’ayaña. Uka jisktʼar qhanañchañatakejj aka formatoruw kuttʼayañama: { 'title' : Uka película jan ukajj serien sutipajj ., 'poster' : Mä película jan ukax serie ukan mä jamuq uñt’ayaña, mä jamuq uñt’aña sitio imdb ., 'desc' : Película jan ukax serie ukanakat sum qhanañchaña . }; Pay suma! Uka trailer ukar mä link jikxatañamawa .
7;az; Hello! Təsadüfi bir film və ya seriala məsləhət verin. Cavabı ciddi şəkildə aşağıdakı formata qaytarın: { 'title' : Filmin və ya seriyanın adı, 'poster' : Bir film və ya seriyadan bir şəkilə keçid, Saytda imdb saytında bir şəkil axtarın, 'desc' : Film və ya seriyaların ətraflı təsviri }; Başqa bir film və ya serial təklif edin. Cavabı ciddi şəkildə aşağıdakı formata qaytarın: { 'title' : Filmin və ya seriyanın adı, 'poster' : Bir film və ya seriyadan bir şəkilə keçid, Saytda imdb saytında bir şəkil axtarın, 'desc' : Film və ya seriyaların ətraflı təsviri }; Təşəkkür edirəm! Zəhmət olmasa treylerə bir keçid tapın
8;bm; Aw ni baara! Aw ye filimu walima seriyali dɔ ladili. Aw bɛ jaabi segin nin cogo in na kosɛbɛ: { 'title' : Filimu walima o filimu tɔgɔ ., 'poster' : Ja min bɛ filimu walima filimu dɔ la, o yɔrɔ ladɛrɛsi, ja dɔ ɲini imdb kan ., 'desc' : Filimu walima filimu ɲɛfɔli dafalen . }; Aw ye filimu walima seri wɛrɛ di. Aw bɛ jaabi segin nin cogo in na kosɛbɛ: { 'title' : Filimu walima o filimu tɔgɔ ., 'poster' : Ja min bɛ filimu walima filimu dɔ la, o yɔrɔ ladɛrɛsi, ja dɔ ɲini imdb kan ., 'desc' : Filimu walima filimu ɲɛfɔli dafalen . }; A' ni cɛ! Aw ye aw jija ka ladɛrɛsi sɔrɔ ka ɲɛsin remorque ma .
9;eu; Kaixo! Aholkatu ausazko film edo serie bati. Erantzuna zorrotz itzuli formatuan: { 'title' : Filmaren edo seriearen izena, 'poster' : Zinema edo serie bateko argazki bat estekatu, bilatu irudia imdb webgunean, 'desc' : Filmaren edo seriearen deskribapen zehatza }; Eskaini beste film edo serie bat. Erantzuna zorrotz itzuli formatuan: { 'title' : Filmaren edo seriearen izena, 'poster' : Zinema edo serie bateko argazki bat estekatu, bilatu irudia imdb webgunean, 'desc' : Filmaren edo seriearen deskribapen zehatza }; Eskerrik asko! Mesedez, aurkitu trailerraren esteka
10;be; Прывітанне! Параіць выпадковы фільм ці серыі. Вярніце адказ строга ў наступным фармаце: { 'title' : Назва фільма ці серыі, 'poster' : Спасылка на малюнак з фільма ці серыі, шукайце малюнак на сайце imdb, 'desc' : Падрабязнае апісанне фільма ці серыі }; Прапануйце яшчэ адзін фільм ці серыю. Вярніце адказ строга ў наступным фармаце: { 'title' : Назва фільма ці серыі, 'poster' : Спасылка на малюнак з фільма ці серыі, шукайце малюнак на сайце imdb, 'desc' : Падрабязнае апісанне фільма ці серыі }; Дзякуй! Знайдзіце спасылку на трэйлер
11;bn; হ্যালো! একটি এলোমেলো ফিল্ম বা সিরিজ পরামর্শ দিন। নিম্নলিখিত ফর্ম্যাটে উত্তরটি কঠোরভাবে ফিরিয়ে দিন: { 'title' : ফিল্ম বা সিরিজের নাম, 'poster' : কোনও ফিল্ম বা সিরিজের কোনও ছবিতে লিঙ্ক করুন, আইএমডিবি.কম সাইটে একটি ছবি সন্ধান করুন, 'desc' : ফিল্ম বা সিরিজের বিশদ বিবরণ }; অন্য ফিল্ম বা সিরিজ অফার করুন। নিম্নলিখিত ফর্ম্যাটে উত্তরটি কঠোরভাবে ফিরিয়ে দিন: { 'title' : ফিল্ম বা সিরিজের নাম, 'poster' : কোনও ফিল্ম বা সিরিজের কোনও ছবিতে লিঙ্ক করুন, আইএমডিবি.কম সাইটে একটি ছবি সন্ধান করুন, 'desc' : ফিল্ম বা সিরিজের বিশদ বিবরণ }; আপনাকে ধন্যবাদ! ট্রেলারটিতে একটি লিঙ্ক সন্ধান করুন
12;bho; प्रणाम! कवनो बेतरतीब फिलिम भा सीरीज के सलाह दीं. जवाब के सख्ती से निम्नलिखित प्रारूप में वापस करीं: { 'title' : फिल्म के नाम भा श्रृंखला के, 'poster' : कवनो फिलिम भा सीरीज के तस्वीर के लिंक, साइट पर तस्वीर देखीं imdb, 'desc' : फिल्म भा श्रृंखला के विस्तृत विवरण }; कवनो दोसर फिलिम भा सीरीज के पेशकश करीं. जवाब के सख्ती से निम्नलिखित प्रारूप में वापस करीं: { 'title' : फिल्म के नाम भा श्रृंखला के, 'poster' : कवनो फिलिम भा सीरीज के तस्वीर के लिंक, साइट पर तस्वीर देखीं imdb, 'desc' : फिल्म भा श्रृंखला के विस्तृत विवरण }; धन्यबाद! कृपया ट्रेलर के लिंक खोजीं
13;bs; Pozdrav! Savjetovati slučajni film ili seriju. Vratite odgovor strogo u sljedećem formatu: { 'title' : Naziv filma ili serije, 'poster' : Link na sliku iz filma ili serije potražite sliku na web mjestu imdb, 'desc' : Detaljan opis filma ili serije }; Nude drugi film ili seriju. Vratite odgovor strogo u sljedećem formatu: { 'title' : Naziv filma ili serije, 'poster' : Link na sliku iz filma ili serije potražite sliku na web mjestu imdb, 'desc' : Detaljan opis filma ili serije }; Hvala ti! Pronađite link do prikolice
14;bg; Здравей! Съветвайте произволен филм или поредица. Върнете отговора строго в следния формат: { 'title' : Името на филма или поредицата, 'poster' : Връзка към снимка от филм или поредица, потърсете снимка на сайта imdb, 'desc' : Подробно описание на филма или поредицата }; Предложете друг филм или сериал. Върнете отговора строго в следния формат: { 'title' : Името на филма или поредицата, 'poster' : Връзка към снимка от филм или поредица, потърсете снимка на сайта imdb, 'desc' : Подробно описание на филма или поредицата }; Благодаря ти! Моля, намерете линк към трейлъра
15;ca; Hola! Aconsellar una pel·lícula o una sèrie aleatòria. Torneu la resposta estrictament en el format següent: { 'title' : El nom de la pel·lícula o de la sèrie, 'poster' : Enllaç a una imatge d’una pel·lícula o sèrie, busqueu una imatge al lloc imdb, 'desc' : Descripció detallada de la pel·lícula o sèrie }; Oferiu una altra pel·lícula o sèrie. Torneu la resposta estrictament en el format següent: { 'title' : El nom de la pel·lícula o de la sèrie, 'poster' : Enllaç a una imatge d’una pel·lícula o sèrie, busqueu una imatge al lloc imdb, 'desc' : Descripció detallada de la pel·lícula o sèrie }; Gràcies! Cerqueu un enllaç al tràiler
16;ceb; Kumusta! Pagtambag sa usa ka random nga pelikula o serye. Ibalik ang tubag nga hugot sa mga musunud nga format: { 'title' : Ang ngalan sa pelikula o serye, 'poster' : Pag-link sa usa ka litrato gikan sa usa ka pelikula o serye, pangitaa ang usa ka litrato sa site imdb, 'desc' : Detalyado nga paghulagway sa pelikula o serye }; Pagtanyag sa laing pelikula o serye. Ibalik ang tubag nga hugot sa mga musunud nga format: { 'title' : Ang ngalan sa pelikula o serye, 'poster' : Pag-link sa usa ka litrato gikan sa usa ka pelikula o serye, pangitaa ang usa ka litrato sa site imdb, 'desc' : Detalyado nga paghulagway sa pelikula o serye }; Salamat! Palihug pangitaa ang usa ka link sa trailer
17;ny; Moni! Alangizeni kanema kapena mndandanda. Bweretsani yankho moyenera munjira yotsatirayi: { 'title' : Dzina la kanema kapena mndandanda, 'poster' : Lumikizanani ndi chithunzi kuchokera mufilimu kapena mndandanda, yang'anani chithunzi patsamba la imdb, 'desc' : Kufotokozera mwatsatanetsatane filimu kapena mndandanda }; Perekani kanema wina kapena mndandanda wina. Bweretsani yankho moyenera munjira yotsatirayi: { 'title' : Dzina la kanema kapena mndandanda, 'poster' : Lumikizanani ndi chithunzi kuchokera mufilimu kapena mndandanda, yang'anani chithunzi patsamba la imdb, 'desc' : Kufotokozera mwatsatanetsatane filimu kapena mndandanda }; Zikomo! Chonde pezani ulalo wa trailer
18;zh-CN; 你好！建议随机电影或系列。严格按以下格式返回答案： { 'title' : 电影或系列的名字, 'poster' : 链接到电影或系列的图片，在网站上查找图片imdb, 'desc' : 电影或系列的详细描述 }; 提供另一部电影或系列。严格按以下格式返回答案： { 'title' : 电影或系列的名字, 'poster' : 链接到电影或系列的图片，在网站上查找图片imdb, 'desc' : 电影或系列的详细描述 }; 谢谢你！请找到拖车的链接
19;zh-TW; 你好！建議隨機電影或系列。嚴格按以下格式返回答案： { 'title' : 電影或系列的名字, 'poster' : 鏈接到電影或系列的圖片，在網站上查找圖片imdb, 'desc' : 電影或系列的詳細描述 }; 提供另一部電影或系列。嚴格按以下格式返回答案： { 'title' : 電影或系列的名字, 'poster' : 鏈接到電影或系列的圖片，在網站上查找圖片imdb, 'desc' : 電影或系列的詳細描述 }; 謝謝你！請找到拖車的鏈接
20;co; Bonghjornu! Cunsigliate un film o serie aleatoriu. Ritorna a risposta strettamente in u furmatu seguente: { 'title' : U nome di u film o di a serie, 'poster' : Ligame à una stampa da un film o una serie, cercate una stampa nantu à u situ imdb, 'desc' : Descrizzione detallata di u film o serie }; Offre un altru film o serie. Ritorna a risposta strettamente in u furmatu seguente: { 'title' : U nome di u film o di a serie, 'poster' : Ligame à una stampa da un film o una serie, cercate una stampa nantu à u situ imdb, 'desc' : Descrizzione detallata di u film o serie }; Grazie! Per piacè truvà un ligame à u trailer
21;hr; Zdravo! Savjetujte nasumični film ili seriju. Vratite odgovor strogo u sljedećem formatu: { 'title' : Naziv filma ili serije, 'poster' : Link do slike iz filma ili serije, potražite sliku na web stranici imdb, 'desc' : Detaljan opis filma ili serije }; Ponudite drugi film ili seriju. Vratite odgovor strogo u sljedećem formatu: { 'title' : Naziv filma ili serije, 'poster' : Link do slike iz filma ili serije, potražite sliku na web stranici imdb, 'desc' : Detaljan opis filma ili serije }; Hvala! Molimo pronađite vezu do prikolice
22;cs; Ahoj! Poradit náhodný film nebo sérii. Odpověď vrátí přísně v následujícím formátu: { 'title' : Název filmu nebo série, 'poster' : Odkaz na obrázek z filmu nebo série, vyhledejte obrázek na webu imdb, 'desc' : Podrobný popis filmu nebo série }; Nabídnout další film nebo sérii. Odpověď vrátí přísně v následujícím formátu: { 'title' : Název filmu nebo série, 'poster' : Odkaz na obrázek z filmu nebo série, vyhledejte obrázek na webu imdb, 'desc' : Podrobný popis filmu nebo série }; Děkuju! Najděte prosím odkaz na přívěs
